fecha,creditos_sbs_millones,numero_entidades_sbs,hoja_sbs,url_sbs
2005-01,69364.982,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Enero/B-2332-en2005.XLS
2005-02,69379.608,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Febrero/B-2332-fe2005.XLS
2005-03,70227.884,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Marzo/B-2332-ma2005.XLS
2005-04,71984.212,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Abril/B-2332-ab2005.XLS
2005-05,73932.646,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Mayo/B-2332-my2005.XLS
2005-06,75252.83,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Junio/B-2332-jn2005.XLS
2005-07,76097.576,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Julio/B-2332-jl2005.XLS
2005-08,76208.274,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Agosto/B-2332-ag2005.XLS
2005-09,76912.232,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Setiembre/B-2332-se2005.XLS
2005-10,78449.38,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Octubre/B-2332-oc2005.XLS
2005-11,81699.718,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Noviembre/B-2332-no2005.XLS
2005-12,83777.524,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Diciembre/B-2332-di2005.XLS
2006-01,79730.712,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Enero/B-2332-en2006.XLS
2006-02,80737.988,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Febrero/B-2332-fe2006.XLS
2006-03,85013.678,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Marzo/B-2332-ma2006.XLS
2006-04,84956.702,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Abril/B-2332-ab2006.XLS
2006-05,86792.464,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Mayo/B-2332-my2006.XLS
2006-06,88236.724,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Junio/B-2332-jn2006.XLS
2006-07,88604.376,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Julio/B-2332-jl2006.XLS
2006-08,88219.596,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Agosto/B-2332-ag2006.XLS
2006-09,90139.394,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Setiembre/B-2332-se2006.XLS
2006-10,90680.22,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Octubre/B-2332-oc2006.XLS
2006-11,92998.22,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Noviembre/B-2332-no2006.XLS
2006-12,95290.832,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Diciembre/B-2332-di2006.XLS
