fecha,error
2005-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Mayo/B-2332-ma2005.XLS
2005-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Junio/B-2332-ju2005.XLS
2005-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Julio/B-2332-ju2005.XLS
2006-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Mayo/B-2332-ma2006.XLS
2006-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Junio/B-2332-ju2006.XLS
2006-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Julio/B-2332-ju2006.XLS
2007-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Mayo/B-2332-ma2007.XLS
2007-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Junio/B-2332-ju2007.XLS
2007-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Julio/B-2332-ju2007.XLS
2008-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2008/Mayo/B-2332-ma2008.XLS
2008-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2008/Junio/B-2332-ju2008.XLS
2008-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2008/Julio/B-2332-ju2008.XLS
2009-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2009/Mayo/B-2332-ma2009.XLS
2009-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2009/Junio/B-2332-ju2009.XLS
2009-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2009/Julio/B-2332-ju2009.XLS
2010-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2010/Mayo/B-2332-ma2010.XLS
2010-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2010/Junio/B-2332-ju2010.XLS
2010-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2010/Julio/B-2332-ju2010.XLS
2011-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2011/Mayo/B-2332-ma2011.XLS
2011-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2011/Junio/B-2332-ju2011.XLS
2011-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2011/Julio/B-2332-ju2011.XLS
2012-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2012/Mayo/B-2332-ma2012.XLS
2012-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2012/Junio/B-2332-ju2012.XLS
2012-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2012/Julio/B-2332-ju2012.XLS
2013-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2013/Mayo/B-2332-ma2013.XLS
2013-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2013/Junio/B-2332-ju2013.XLS
2013-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2013/Julio/B-2332-ju2013.XLS
2014-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2014/Mayo/B-2332-ma2014.XLS
2014-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2014/Junio/B-2332-ju2014.XLS
2014-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2014/Julio/B-2332-ju2014.XLS
2015-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Mayo/B-2332-ma2015.XLS
2015-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Junio/B-2332-ju2015.XLS
2015-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Julio/B-2332-ju2015.XLS
2016-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Mayo/B-2332-ma2016.XLS
2016-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Junio/B-2332-ju2016.XLS
2016-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Julio/B-2332-ju2016.XLS
2017-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Mayo/B-2332-ma2017.XLS
2017-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Junio/B-2332-ju2017.XLS
2017-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Julio/B-2332-ju2017.XLS
