anio,credito_privado_pct_pbi_bcrp,credito_privado_pct_pbi_wdi
2005,22.863399150549547,19.066421608863
2006,22.9909316828716,20.8131640208248
2007,23.8153367980833,24.6070736917389
2008,28.078291283955924,29.7639607500021
2009,30.51892107191975,30.0145290325562
2010,32.187540016802046,30.261687153432
2011,34.335326710775675,32.3092275000503
2012,36.75530095090575,34.0437468209084
2013,38.32651411881983,37.7199291764532
2014,40.20460346019225,40.8996268175973
2015,41.03462989957635,43.8679314540478
2016,40.382422335631524,42.8090253456419
2017,39.666837718691454,42.4146143080756
2018,40.478513099257675,43.9039424432995
2019,41.42165079873952,44.7242368945336
2020,48.689251468843324,55.3124099083207
2021,45.52772310976055,47.1153342938622
2022,43.09688075290855,45.6488442298176
2023,40.947068451742055,42.9491111931795
2024,38.13630669403595,39.6187196270943
