periodo,credito_sector_privado,tipo_cambio,inflacion_ipc,pbi_desestacionalizado,fecha,creditos_sbs_millones,numero_entidades_sbs,hoja_sbs,url_sbs,fecha_dt,anio,trimestre,periodo_trimestral
Ene.2005,52789.38064142,3.26785714285714,3.03097911143629,83.076185978987,2005-01,69364.982,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Enero/B-2332-en2005.XLS,2005-01-01,2005,1,2005T1
Feb.2005,52925.03508328,3.25876,1.68486346916637,84.7443785929493,2005-02,69379.608,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Febrero/B-2332-fe2005.XLS,2005-02-01,2005,1,2005T1
Mar.2005,53447.90565674,3.25928095238095,1.87692373675019,82.4383166663078,2005-03,70227.884,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Marzo/B-2332-ma2005.XLS,2005-03-01,2005,1,2005T1
Abr.2005,54505.7817969,3.25795,2.02120797476034,84.5379693056899,2005-04,71984.212,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Abril/B-2332-ab2005.XLS,2005-04-01,2005,2,2005T2
May.2005,55552.114988,3.25499047619048,1.78991360320908,85.4047286850945,2005-05,73932.646,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Mayo/B-2332-my2005.XLS,2005-05-01,2005,2,2005T2
Jun.2005,56244.94075975,3.25299523809524,1.48619031469285,85.2863565757417,2005-06,75252.83,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Junio/B-2332-jn2005.XLS,2005-06-01,2005,2,2005T2
Jul.2005,56908.29569425,3.25213157894737,1.39655085833978,85.9444109656823,2005-07,76097.576,15,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Julio/B-2332-jl2005.XLS,2005-07-01,2005,3,2005T3
Ago.2005,57386.20651016,3.25767272727273,1.22409427378704,85.6791195518041,2005-08,76208.274,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Agosto/B-2332-ag2005.XLS,2005-08-01,2005,3,2005T3
Sep.2005,58036.17033738,3.30762727272727,1.11178638841314,86.5245707615074,2005-09,76912.232,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Setiembre/B-2332-se2005.XLS,2005-09-01,2005,3,2005T3
Oct.2005,59393.03781208,3.38044761904762,1.2822280924001,87.1234289716052,2005-10,78449.38,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Octubre/B-2332-oc2005.XLS,2005-10-01,2005,4,2005T4
Nov.2005,61500.54209649,3.37676190476191,1.06109171419654,89.0875532678117,2005-11,81699.718,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Noviembre/B-2332-no2005.XLS,2005-11-01,2005,4,2005T4
Dic.2005,63153.93758465,3.42449047619048,1.49426032513706,87.9121131862351,2005-12,83777.524,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2005/Diciembre/B-2332-di2005.XLS,2005-12-01,2005,4,2005T4
Ene.2006,60847.02724669,3.39319545454545,1.89928300065183,89.6057266309361,2006-01,79730.712,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Enero/B-2332-en2006.XLS,2006-01-01,2006,1,2006T1
Feb.2006,61543.41869986,3.288465,2.69892663277413,89.9481239292913,2006-02,80737.988,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Febrero/B-2332-fe2006.XLS,2006-02-01,2006,1,2006T1
Mar.2006,63269.31748864,3.34001739130435,2.50196392133908,91.6266066789985,2006-03,85013.678,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Marzo/B-2332-ma2006.XLS,2006-03-01,2006,1,2006T1
Abr.2006,63008.90905007,3.3313,2.90245879697595,90.8316629786575,2006-04,84956.702,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Abril/B-2332-ab2006.XLS,2006-04-01,2006,2,2006T2
May.2006,64081.24174922,3.27853636363636,2.23003569274239,90.9746543165763,2006-05,86792.464,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Mayo/B-2332-my2006.XLS,2006-05-01,2006,2,2006T2
Jun.2006,64706.03261014,3.26390952380952,1.82598470764676,91.8803909655891,2006-06,88236.724,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Junio/B-2332-jn2006.XLS,2006-06-01,2006,2,2006T2
Jul.2006,65276.02121596,3.243425,1.54620334004134,91.5394183789024,2006-07,88604.376,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Julio/B-2332-jl2006.XLS,2006-07-01,2006,3,2006T3
Ago.2006,65414.80957068,3.23479090909091,1.87067015257125,93.2506012930156,2006-08,88219.596,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Agosto/B-2332-ag2006.XLS,2006-08-01,2006,3,2006T3
Sep.2006,67154.729085,3.24791428571429,1.99470938591183,92.6041150857929,2006-09,90139.394,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Setiembre/B-2332-se2006.XLS,2006-09-01,2006,3,2006T3
Oct.2006,67818.07209439,3.23740909090909,1.8918527701293,93.6013059043123,2006-10,90680.22,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Octubre/B-2332-oc2006.XLS,2006-10-01,2006,4,2006T4
Nov.2006,69552.76464804,3.22249047619048,1.53527027131057,93.6957748663498,2006-11,92998.22,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Noviembre/B-2332-no2006.XLS,2006-11-01,2006,4,2006T4
Dic.2006,69433.815248,3.20508947368421,1.13748466302501,94.6343467920095,2006-12,95290.832,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2006/Diciembre/B-2332-di2006.XLS,2006-12-01,2006,4,2006T4
Ene.2007,69819.4704288,3.19266363636364,0.644192485593111,96.1704480882607,2007-01,95744.388,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Enero/B-2332-en2007.XLS,2007-01-01,2007,1,2007T1
Feb.2007,70717.51374107,3.19029,0.355106579631463,96.2881263161898,2007-02,96581.046,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Febrero/B-2332-fe2007.XLS,2007-02-01,2007,1,2007T1
Mar.2007,72596.32102162,3.18557727272727,0.246889470132424,97.8314819751364,2007-03,98942.05,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Marzo/B-2332-ma2007.XLS,2007-03-01,2007,1,2007T1
Abr.2007,74195.32338948,3.17824210526316,-0.0840423246943481,97.4418401983132,2007-04,101641.882,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Abril/B-2332-ab2007.XLS,2007-04-01,2007,2,2007T2
May.2007,75878.92549683,3.16761818181818,0.940332272525899,100.527037479075,2007-05,103862.728,12,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Mayo/B-2332-my2007.XLS,2007-05-01,2007,2,2007T2
Jun.2007,77226.43963749,3.170315,1.54903128174348,99.5749215128561,2007-06,110110.81,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Junio/B-2332-jn2007.XLS,2007-06-01,2007,2,2007T2
Jul.2007,78477.658902,3.16092272727273,2.20614337091199,100.210927651919,2007-07,112851.696,13,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Julio/B-2332-jl2007.XLS,2007-07-01,2007,3,2007T3
Ago.2007,79557.26584304,3.15747272727273,2.20365399385851,100.651163150322,2007-08,114808.182,14,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Agosto/B-2332-ag2007.XLS,2007-08-01,2007,3,2007T3
Sep.2007,80880.13052486,3.135545,2.80151716782047,100.978217436819,2007-09,116691.086,14,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Setiembre/B-2332-se2007.XLS,2007-09-01,2007,3,2007T3
Oct.2007,81454.493395,3.01942727272727,3.07919123254024,102.132121038679,2007-10,117335.022,14,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Octubre/B-2332-oc2007.XLS,2007-10-01,2007,4,2007T4
Nov.2007,85689.261382,3.00089047619048,3.48560650700319,103.674025022899,2007-11,124811.104,14,Hoja1,https://intranet2.sbs.gob.pe/estadistica/financiera/2007/Noviembre/B-2332-no2007.XLS,2007-11-01,2007,4,2007T4
