anio,trimestre,periodo_trimestral,credito_sector_privado,pbi_desestacionalizado,inflacion_ipc,tipo_cambio,creditos_sbs_millones,credito_privado_pct_pbi_bcrp
2005,1,2005T1,53447.90565674,83.4196270794147,2.19758877245095,3.2619660317460304,70227.884,22.2574417515672
2005,2,2005T2,56244.94075975,85.07635152217536,1.7657706308874233,3.255311904761907,75252.83,23.1569431619428
2005,3,2005T3,58036.17033738,86.04936709299794,1.2441438401799867,3.272477192982457,76912.232,22.6593678433306
2005,4,2005T4,63153.93758465,88.04103180855066,1.2791933772445667,3.3939000000000035,83777.524,23.3798438453576
2006,1,2006T1,63269.31748864,90.39348574640864,2.3667245182550136,3.340559281949933,85013.678,22.8598984662382
2006,2,2006T2,64706.03261014,91.22890275360764,2.319493065788367,3.2912486291486265,88236.724,23.1220738033892
2006,3,2006T3,67154.729085,92.46471158590363,1.8038609595081398,3.2420433982684003,90139.394,22.9941185331195
2006,4,2006T4,69433.815248,93.97714252089054,1.5215359014882932,3.2216630135945934,95290.832,22.9876359287395
2007,1,2007T1,72596.32102162,96.76335212652896,0.41539617845233273,3.1895103030303034,98942.05,21.7753266083483
2007,2,2007T2,77226.43963749,99.18126639674809,0.8017737431916769,3.1720584290271137,110110.81,23.6227657832816
2007,3,2007T3,80880.13052486,100.61343607968666,2.4037715108636566,3.1513134848484867,116691.086,24.3115281285494
2007,4,2007T4,88191.467168,103.44194539703666,3.4974923566157137,3.000452582972583,129056.968,25.5517266721539
2008,1,2008T1,86872.97808525,106.68475538489766,4.83837531599459,2.8885066871724767,128802.88,26.3147090889976
2008,2,2008T2,96859.05798422,109.04761395472833,5.539126705387424,2.81480876783786,145323.406,27.4295792474952
2008,3,2008T3,102725.42237586,110.16571271208933,6.093621679861127,2.902375180375183,156845.19,28.4404790629835
2008,4,2008T4,112728.05364628,110.11545619894066,6.645766139243659,3.093215084175083,176808.86,30.1283977363474
2009,1,2009T1,114749.7419878,109.518377848866,5.598282446681343,3.187674489633173,176590.45,29.9291557783905
